Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,2401,2454,2508,2563,2617,2671,2724,2780,2838,2897,2957,3016,3076,3138,3199,3256,3255,3363,3485,3035,3050,3076,3074.832,3055.331,3053.831,3060.908,3073.733,3093.465,3033.658,3014.578,3011.487,2992.547,2970.017,2947.314,2927.519,2913.021,2904.78,2900.489,2897.364,2894.125,2889.167,2886.026,2873.457,2866.376,2854.191,2837.849,2811.666,2777.689,2761.785
Andorra,27,29,29,30,31,35,38,40,42,43,45,46,48,50,51,53,57,60,63,65,64,64,65.592,65.592,65.924,65.908,66.089,66.094,69.84,74.885,78.607,80.104,82.392,83.884,85.116,70.29,69.772,69.758,69.929,70.155,70.901,72.358,73.105,74.794,76.177,77.543,78.015,79.535,81.588
Austria,7579,7566,7568,7562,7549,7549,7559,7571,7548,7552,7555,7565,7573,7615,7659,7729,7813,7914,7991,7936,7948,7959,7968.041,7976.789,7992.323,8011.566,8042.293,8082.121,8118.245,8169.441,8225.278,8267.948,8295.189,8321.541,8341.483,8361.069,8388.534,8426.311,8477.23,8543.975,8629.496,8690.076,8795.073,8837.707,8879.9195,8901.064,8932.664,8978.929,9104.772
Belgium,9795,9811,9822,9830,9837,9847,9852,9856,9856,9855,9858,9862,9870,9902,9938,9967,9979,10045,10084,10116,10137,10157,10181.245,10203.008,10226.419,10251.25,10286.57,10332.785,10372.469,10417.122,10472.842,10541.893,10622.604,10709.973,10796.493,10895.638,11043.788,11128.246,11182.817,11231.213,11284.776,11311.117,11375.158,11427.054,11455.519,11522.44,11554.767,11617.623,11742.796
Bulgaria,8721,8759,8804,8814,8826,8862,8891,8917,8940,8961,8960,8958,8971,8981,8989,8991,8982,8540,8472,8444,8406,8363,8312.068,8256.786,8210.624,8170.172,7913.301,7868.9,7823.557,7781.161,7739.9,7699.02,7659.764,7623.395,7585.131,7534.289,7348.328,7305.888,7263.859,7223.937,7177.991,7153.784,7075.947,7025.0365,6975.7605,6934.015,6877.7425,6838.937,6447.71
Channel Islands,128,128,129,129,130,129,130,130,131,132,133,136,136,140,142,142,143,143,142,142,143,143,143,143,144,144,148,150,150,150,151,153,155,157,158,160,161,162,162,163,165,167,166.296,167.888,169.481,170.731,170.996,171.303,171.887
Czechoslovakia,14820,14918,15030,15137,15237,15311,15320,15369,15414,15458,15499,15534,15572,15607,15638,15661,15583,15731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,5060,5073,5088,5104,5117,5123,5122,5118,5114,5112,5114,5121,5127,5130,5133,5140,5154,5170,5189,5205,5228,5262,5284.22,5301.304,5327.358,5337.344,5358.783,5374.255,5387.174,5401.177,5415.978,5434.567,5457.415,5489.022,5519.441,5545.039,5566.856,5587.085,5608.784,5639.719,5678.348,5724.456,5760.694,5789.957,5814.461,5825.337,5850.189,5873.42,5932.654
Faroe Islands,41,41,42,42,43,43,44,44,45,45,46,46,47,47,47,47,47,47,47,47,44,44,43.993,44.504,45.063,45.749,46.553,47.315,47.923,48.258,48.258,48.34,48.384,48.555,48.798,48.669,48.563,48.319,48.286,48.462,48.958,49.503,50.182,50.998,51.795,52.571,53.317,53.957,54.497
Finland,4711,4726,4739,4753,4765,4780,4800,4827,4856,4882,4902,4918,4932,4946,4964,4986,5014,5042,5066,5088,5108,5125,5139.835,5153.498,5165.474,5176.209,5188.008,5200.598,5213.014,5228.172,5219.448,5239.423,5261.682,5286.095,5311.276,5335.481,5360.091,5385.543,5410.389,5432.721,5450.581,5507,5508.214,5515.5235,5521.6055,5555.2975,5564.03,5578.5925,5594.42
France,52705,52909,53145,53376,53606,53880,54182,54480,54728,54947,55284,55546,55824,56118,56423,56735,57055,57240,57467,57659,57844,58026,58207.49,58397.788,58677.406,59062.385,59476.236,59893.87,60303.631,60734.343,61181.499,61597.486,61965.052,62300.288,62615.472,62917.79,63223.158,63536.918,63862.825,64027.784,64474.274,64732.099,64741.585,64970.403,64821.954,65123.843,65447.454,65646.837,65646.837
West Germany,61832,61513,61396,61310,61337,61538,61663,61596,61383,61126,60975,61010,61097,61420,62063,63253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Germany,16850,16786,16765,16756,16745,16737,16736,16697,16699,16671,16644,16624,16641,16666,16630,16247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,30,30,30,29,30,30,30,29,29,29,29,29,29,30,31,31,28,29,28,28,27,27,27.139,27.025,27.204,27.033,27.033,28.52,28.605,28.759,29.313,29.672,30.066,30.496,30.963,31.465,32.003,32.577,32.734,33.14,33.573,33.573,34,34,34,34,34,34,34
